dane1;eng1;dane2;eng2;key;Octant Code;Item Code;"CSIV Item: ""How important is it that...""";questions;labels
CSIV_55;;skala2a_r2;IIPC.1_2;JK;;;;Trudno mi: - mówić „nie” innym ludziom.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_56;;skala2a_r3;IIPC.1_3;FG;;;;Trudno mi: - dołączać do grup.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_57;;skala2a_r4;IIPC.1_4;JNO;;;;Trudno mi: - zachować prywatność przed innymi ludźmi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_58;;skala2a_r5;IIPC.1_5;HI;;;;Trudno mi: - dawać ludziom znać, czego chcę.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_59;;skala2a_r6;IIPC.1_6;HI;;;;Trudno mi: - powiedzieć komuś, aby przestał mi przeszkadzać.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_60;;skala2a_r7;IIPC.1_7;FG;;;;Trudno mi: - przedstawiać się nowym osobom.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_61;;skala2a_r8;IIPC.1_8;HI;;;;Trudno mi: - konfrontować ludzi z pojawiającymi się problemami.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_62;;skala2a_r9;IIPC.1_9;HI;;;;Trudno mi: - być asertywnym wobec drugiej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_63;;skala2a_r10;IIPC.1_10;JK;;;;Trudno mi: - dawać ludziom znać, że jestem zły.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
CSIV_64;;skala2a_r11;IIPC.1_11;DE;;;;Trudno mi: - podjąć długoterminowe zobowiązanie wobec innej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_1;;skala2a_r12;IIPC.1_12;HI;;;;Trudno mi: - być dla kogoś szefem.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_2;;skala2a_r13;IIPC.1_13;HI;;;;Trudno mi: - być agresywnym wobec kogoś, gdy sytuacja tego wymaga.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_3;;skala2a_r14;IIPC.1_14;FG;;;;Trudno mi: - udzielać się towarzysko z innymi ludźmi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_4;;skala2a_r15;IIPC.1_15;DE;;;;Trudno mi: - okazywać uczucia innym.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_5;;skala2a_r16;IIPC.1_16;DE;;;;Trudno mi: - dogadywać się z ludźmi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_6;;skala2a_r17;IIPC.1_17;IPA;;;;Trudno mi: - zrozumieć punkt widzenia innej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_7;;skala2a_r18;IIPC.1_18;FG;;;;Trudno mi: - okazywać uczucia innym ludziom wprost.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_8;;skala2a_r19;IIPC.1_19;HI;;;;Trudno mi: - być stanowczym, kiedy trzeba.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_9;;skala2a_kontr;kontrola_0;0;;;;Pytanie kontrolne - zaznacz odpowiedź Wcale.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_10;;skala2a_r20;IIPC.1_20;DE;;;;Trudno mi: - doświadczyć miłości wobec innej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_11;;skala2a_r21;IIPC.1_21;LM;;;;Trudno mi: - stawiać innym granice.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_12;;skala2a_r22;IIPC.1_22;IBC;;;;Trudno mi: - wspierać cele życiowe innej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_13;;skala2a_r23;IIPC.1_23;DE;;;;Trudno mi: - czuć bliskość do innych osób.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_14;;skala2a_r24;IIPC.1_24;IBC;;;;Trudno mi: - naprawdę przejmować się problemami innych osób.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_15;;skala2a_r25;IIPC.1_25;JK;;;;Trudno mi: - kłócić się z inną osobą.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_16;;skala2a_r26;IIPC.1_26;JNO;;;;Trudno mi: - spędzać czas samemu.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_17;;skala2a_r27;IIPC.1_27;DE;;;;Trudno mi: - dać drugiej osobie prezent.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_18;;skala2a_r28;IIPC.1_28;LM;;;;Trudno mi: - pozwolić sobie na złość wobec osoby, którą lubię.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_19;;skala2a_r29;IIPC.1_29;IBC;;;;Trudno mi: - postawić czyjeś potrzeby przed moimi własnymi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_20;;skala2a_r30;IIPC.1_30;JNO;;;;Trudno mi: - nie wtrącać się w sprawy innych osób.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_21;;skala2a_r31;IIPC.1_31;IPA;;;;Trudno mi: - przyjmować polecenia od osób mających władzę nade mną.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_22;;skala2a_r32;IIPC.1_32;IBC;;;;Trudno mi: - czuć się dobrze z powodu szczęścia innej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_23;;skala2a_r33;IIPC.1_33;FG;;;;Trudno mi: - zapraszać inne osoby na spotkania towarzyskie.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_24;;skala2a_r34;IIPC.1_34;JK;;;;Trudno mi: - czuć złość na inne osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_25;;skala2a_r35;IIPC.1_35;FG;;;;Trudno mi: - otworzyć się i wyznać innej osobie moje uczucia.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_26;;skala2a_r36;IIPC.1_36;DE;;;;Trudno mi: - wybaczyć innej osobie po tym, jak byłem na nią zły.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_27;;skala2a_r37;IIPC.1_37;LM;;;;Trudno mi: - dbać o własne dobro, gdy ktoś inny jest w potrzebie.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_28;;skala2a_r38;IIPC.1_38;JK;;;;Trudno mi: - być asertywnym bez martwienia się o ranienie uczuć innej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_29;;skala2a_r39;IIPC.1_39;HI;;;;Trudno mi: - być pewnym siebie podczas przebywania z innymi ludźmi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_30;;skala2a_r40;IIPC.1_13b;HI;;;;Trudno mi: - zawalczyć o swoje gdy sytuacja tego wymaga.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_31;;skala2b_r1;IIPC.2_1;IBC;;;;Poniżej są rzeczy, których możesz robić za dużo: - za dużo walczę z ludźmi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_32;;skala2b_r2;IIPC.2_2;JNO;;;;Poniżej są rzeczy, których możesz robić za dużo: - czuję się zbyt odpowiedzialny za rozwiązywanie problemów innych osób.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_33;;skala2b_r3;IIPC.2_3;JK;;;;Poniżej są rzeczy, których możesz robić za dużo: - zbyt łatwo mnie przekonać.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_34;;skala2b_r4;IIPC.2_4;JNO;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo otwieram się przed innymi ludźmi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_35;;skala2b_r5;IIPC.2_5;IPA;;;;Poniżej są rzeczy, których możesz robić za dużo: - jestem zbyt niezależny.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_36;;skala2b_r6;IIPC.2_6;IPA;;;;Poniżej są rzeczy, których możesz robić za dużo: - jestem zbyt agresywny wobec innych osób.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_37;;skala2b_r7;IIPC.2_7;LM;;;;Poniżej są rzeczy, których możesz robić za dużo: - staram się zbytnio innych zadowolić.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_38;;skala2b_r8;IIPC.2_8;JNO;;;;Poniżej są rzeczy, których możesz robić za dużo: - za dużo błaznuję.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.1_39;;skala2b_r9;IIPC.2_9;JNO;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo chce być zauważony.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_1;;skala2b_r10;IIPC.2_10;LM;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo ufam innym ludziom.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_2;;skala2b_r11;IIPC.2_11;IPA;;;;Poniżej są rzeczy, których możesz robić za dużo: - próbuję innych za bardzo kontrolować.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_3;;skala2b_r12;IIPC.2_12;LM;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo stawiam potrzeby innych przed własnymi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_4;;skala2b_r13;IIPC.2_13;IPA;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo próbuję zmienić innych ludzi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_5;;skala2b_r14;IIPC.2_14;JK;;;;Poniżej są rzeczy, których możesz robić za dużo: - jestem zbyt łatwowierny.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_6;;skala2b_r15;IIPC.2_15;LM;;;;Poniżej są rzeczy, których możesz robić za dużo: - jestem nadmiernie hojny wobec ludzi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_7;;skala2b_r16;IIPC.2_16;FG;;;;Poniżej są rzeczy, których możesz robić za dużo: - zbyt boję się innych ludzi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_8;;skala2b_r17;IIPC.2_17;IBC;;;;Poniżej są rzeczy, których możesz robić za dużo: - jestem za bardzo podejrzliwy wobec ludzi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_9;;skala2b_r18;IIPC.2_18;IPA;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo manipuluję innymi ludźmi, aby dostać to, czego chcę.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_10;;skala2b_r19;IIPC.2_19;JNO;;;;Poniżej są rzeczy, których możesz robić za dużo: - za dużo mówię o osobiste rzeczy innym ludziom.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_11;;skala2b_r20;IIPC.2_20;IPA;;;;Poniżej są rzeczy, których możesz robić za dużo: - za dużo kłócę się z innymi ludźmi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_12;;skala2b_r21;IIPC.2_21;DE;;;;Poniżej są rzeczy, których możesz robić za dużo: - zbyt bardzo trzymam innych ludzi na dystans.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_13;;skala2b_r22;IIPC.2_22;JK;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo pozwalam innym mnie wykorzystywać.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_14;;skala2b_r23;IIPC.2_23;FG;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo czuję się zakłopotany w towarzystwie innych ludzi.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_15;;skala2b_r24;IIPC.2_24;LM;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo dotyka mnie nieszczęście innej osoby.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_16;;skala2b_r25;IIPC.2_25;IBC;;;;Poniżej są rzeczy, których możesz robić za dużo: - za bardzo chce zemścić się na innych ludziach.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
IIPC.2_17;;skala3a_r1;ISC_1;DOMINANT;;;;Przeszkadza mi, gdy osoba: - myśli, że jest moim szefem.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_18;;skala3a_r2;ISC_2;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - nie bierze pod uwagę moich uczuć.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_19;;skala3a_r3;ISC_3;COLD;;;;Przeszkadza mi, gdy osoba: - nie okazuje żadnych uczuć.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_20;;skala3a_r4;ISC_4;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - nie angażuje się w rozmowę.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_21;;skala3a_r5;ISC_5;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - nie potrafi być asertywna.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_22;;skala3a_r6;ISC_6;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - za wszelką cenę unika konfliktów.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_23;;skala3a_r7;ISC_7;WARM;;;;Przeszkadza mi, gdy osoba: - chce spędzać ze mną mnóstwo czasu.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_24;;skala3a_r8;ISC_8;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - nie szanuje mojej prywatności.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
IIPC.2_25;;skala3a_r9;ISC_9;DOMINANT;;;;Przeszkadza mi, gdy osoba: - ustawia mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_1;;skala3a_r10;ISC_10;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - nie odpowiada na mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_2;;skala3a_r11;ISC_11;COLD;;;;Przeszkadza mi, gdy osoba: - nie chce się przyjaźnić.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_3;;skala3a_kontr;kontrola_7;7;;;;Pytanie kontrolne - zaznacz odpowiedź Bardzo mocno.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_4;;skala3a_r12;ISC_12;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - jest zdystansowana.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_5;;skala3a_r13;ISC_13;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - nie ma charakteru.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_6;;skala3a_r14;ISC_14;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - ciągle potrzebuje wsparcia.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_7;;skala3b_r15;ISC_15;WARM;;;;Przeszkadza mi, gdy osoba: - próbuje się do mnie za szybko zbliżyć.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_8;;skala3b_r16;ISC_16;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - przechwala się.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_9;;skala3b_r17;ISC_17;DOMINANT;;;;Przeszkadza mi, gdy osoba: - traktuje mnie z góry.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_10;;skala3b_r18;ISC_18;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - jest wrogi/a.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
