"","variable","question","labels"
"107","skala2a_r31","Trudno mi: - przyjmować polecenia od osób mających władzę nade mną.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"108","skala2a_r32","Trudno mi: - czuć się dobrze z powodu szczęścia innej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"109","skala2a_r33","Trudno mi: - zapraszać inne osoby na spotkania towarzyskie.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"110","skala2a_r34","Trudno mi: - czuć złość na inne osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"111","skala2a_r35","Trudno mi: - otworzyć się i wyznać innej osobie moje uczucia.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"112","skala2a_r36","Trudno mi: - wybaczyć innej osobie po tym, jak byłem na nią zły.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"113","skala2a_r37","Trudno mi: - dbać o własne dobro, gdy ktoś inny jest w potrzebie.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"114","skala2a_r38","Trudno mi: - być asertywnym bez martwienia się o ranienie uczuć innej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"115","skala2a_r39","Trudno mi: - być pewnym siebie podczas przebywania z innymi ludźmi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"116","skala2a_r40","Trudno mi: - zawalczyć o swoje gdy sytuacja tego wymaga.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"117","skala2b_r1","Poniżej są rzeczy, których możesz robić za dużo: - za dużo walczę z ludźmi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"118","skala2b_r2","Poniżej są rzeczy, których możesz robić za dużo: - czuję się zbyt odpowiedzialny za rozwiązywanie problemów innych osób.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"119","skala2b_r3","Poniżej są rzeczy, których możesz robić za dużo: - zbyt łatwo mnie przekonać.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"120","skala2b_r4","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo otwieram się przed innymi ludźmi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"121","skala2b_r5","Poniżej są rzeczy, których możesz robić za dużo: - jestem zbyt niezależny.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"122","skala2b_r6","Poniżej są rzeczy, których możesz robić za dużo: - jestem zbyt agresywny wobec innych osób.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"123","skala2b_r7","Poniżej są rzeczy, których możesz robić za dużo: - staram się zbytnio innych zadowolić.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"124","skala2b_r8","Poniżej są rzeczy, których możesz robić za dużo: - za dużo błaznuję.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"125","skala2b_r9","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo chce być zauważony.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"126","skala2b_r10","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo ufam innym ludziom.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"127","skala2b_r11","Poniżej są rzeczy, których możesz robić za dużo: - próbuję innych za bardzo kontrolować.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"128","skala2b_r12","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo stawiam potrzeby innych przed własnymi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"129","skala2b_r13","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo próbuję zmienić innych ludzi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"130","skala2b_r14","Poniżej są rzeczy, których możesz robić za dużo: - jestem zbyt łatwowierny.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"131","skala2b_r15","Poniżej są rzeczy, których możesz robić za dużo: - jestem nadmiernie hojny wobec ludzi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"132","skala2b_r16","Poniżej są rzeczy, których możesz robić za dużo: - zbyt boję się innych ludzi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"133","skala2b_r17","Poniżej są rzeczy, których możesz robić za dużo: - jestem za bardzo podejrzliwy wobec ludzi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"134","skala2b_r18","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo manipuluję innymi ludźmi, aby dostać to, czego chcę.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"135","skala2b_r19","Poniżej są rzeczy, których możesz robić za dużo: - za dużo mówię o osobiste rzeczy innym ludziom.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"136","skala2b_r20","Poniżej są rzeczy, których możesz robić za dużo: - za dużo kłócę się z innymi ludźmi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"137","skala2b_r21","Poniżej są rzeczy, których możesz robić za dużo: - zbyt bardzo trzymam innych ludzi na dystans.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"138","skala2b_r22","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo pozwalam innym mnie wykorzystywać.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"139","skala2b_r23","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo czuję się zakłopotany w towarzystwie innych ludzi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"140","skala2b_r24","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo dotyka mnie nieszczęście innej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"141","skala2b_r25","Poniżej są rzeczy, których możesz robić za dużo: - za bardzo chce zemścić się na innych ludziach.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"142","skala3a_r1","Przeszkadza mi, gdy osoba: - myśli, że jest moim szefem.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"143","skala3a_r2","Przeszkadza mi, gdy osoba: - nie bierze pod uwagę moich uczuć.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"144","skala3a_r3","Przeszkadza mi, gdy osoba: - nie okazuje żadnych uczuć.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"145","skala3a_r4","Przeszkadza mi, gdy osoba: - nie angażuje się w rozmowę.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"146","skala3a_r5","Przeszkadza mi, gdy osoba: - nie potrafi być asertywna.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"147","skala3a_r6","Przeszkadza mi, gdy osoba: - za wszelką cenę unika konfliktów.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"148","skala3a_r7","Przeszkadza mi, gdy osoba: - chce spędzać ze mną mnóstwo czasu.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"149","skala3a_r8","Przeszkadza mi, gdy osoba: - nie szanuje mojej prywatności.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"150","skala3a_r9","Przeszkadza mi, gdy osoba: - ustawia mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"151","skala3a_r10","Przeszkadza mi, gdy osoba: - nie odpowiada na mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"152","skala3a_r11","Przeszkadza mi, gdy osoba: - nie chce się przyjaźnić.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"153","skala3a_kontr","Pytanie kontrolne - zaznacz odpowiedź Bardzo mocno.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"154","skala3a_r12","Przeszkadza mi, gdy osoba: - jest zdystansowana.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"155","skala3a_r13","Przeszkadza mi, gdy osoba: - nie ma charakteru.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"156","skala3a_r14","Przeszkadza mi, gdy osoba: - ciągle potrzebuje wsparcia.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"157","skala3b_r15","Przeszkadza mi, gdy osoba: - próbuje się do mnie za szybko zbliżyć.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"158","skala3b_r16","Przeszkadza mi, gdy osoba: - przechwala się.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"159","skala3b_r17","Przeszkadza mi, gdy osoba: - traktuje mnie z góry.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"160","skala3b_r18","Przeszkadza mi, gdy osoba: - jest wrogi/a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"161","skala3b_r19","Przeszkadza mi, gdy osoba: - odgradza się ode mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"162","skala3b_r20","Przeszkadza mi, gdy osoba: - przygląda się, ale nie angażuje.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"163","skala3b_r21","Przeszkadza mi, gdy osoba: - jest słaba.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"164","skala3b_r22","Przeszkadza mi, gdy osoba: - zdaje się ciągle potrzebować mojej pomocy.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"165","skala3b_r23","Przeszkadza mi, gdy osoba: - mówi mi, że mnie kocha.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"166","skala3b_r24","Przeszkadza mi, gdy osoba: - popisuje się.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"167","skala3b_r25","Przeszkadza mi, gdy osoba: - zrobi wszystko, żeby dostać to, czego chce.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"168","skala3b_r26","Przeszkadza mi, gdy osoba: - jest kłamliwy/a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"169","skala3b_r27","Przeszkadza mi, gdy osoba: - nie podzieli się ze mną swoimi uczuciami.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"170","skala3b_r28","Przeszkadza mi, gdy osoba: - nie stanie na wysokości zadania.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"171","skala3b_r29","Przeszkadza mi, gdy osoba: - pozwala się innym zdominować.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"172","skala3b_r30","Przeszkadza mi, gdy osoba: - odgrywa bezradną.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"173","skala3b_r31","Przeszkadza mi, gdy osoba: - wyraża troskę wobec mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"174","skala3b_r32","Przeszkadza mi, gdy osoba: - mówi o sobie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"175","skala3b_r33","Przeszkadza mi, gdy osoba: - musi decydować o wszystkim.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"176","skala3b_r34","Przeszkadza mi, gdy osoba: - nie ufa mi.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"177","skala3b_r35","Przeszkadza mi, gdy osoba: - jest nie reagująca.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"178","skala3b_r36","Przeszkadza mi, gdy osoba: - nie dzieli się swoimi pomysłami.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"179","skala3b_r37","Przeszkadza mi, gdy osoba: - jest zawsze uległa.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
