"","variable","question","labels"
"89","skala2a_r14","Trudno mi: - udzielaæ siê towarzysko z innymi ludŸmi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"90","skala2a_r15","Trudno mi: - okazywaæ uczucia innym.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"91","skala2a_r16","Trudno mi: - dogadywaæ siê z ludŸmi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"92","skala2a_r17","Trudno mi: - zrozumieæ punkt widzenia innej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"93","skala2a_r18","Trudno mi: - okazywaæ uczucia innym ludziom wprost.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"94","skala2a_r19","Trudno mi: - byæ stanowczym, kiedy trzeba.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"95","skala2a_kontr","Pytanie kontrolne - zaznacz odpowiedŸ Wcale.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"96","skala2a_r20","Trudno mi: - doœwiadczyæ mi³oœci wobec innej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"97","skala2a_r21","Trudno mi: - stawiaæ innym granice.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"98","skala2a_r22","Trudno mi: - wspieraæ cele ¿yciowe innej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"99","skala2a_r23","Trudno mi: - czuæ bliskoœæ do innych osób.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"100","skala2a_r24","Trudno mi: - naprawdê przejmowaæ siê problemami innych osób.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"101","skala2a_r25","Trudno mi: - k³óciæ siê z inn¹ osob¹.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"102","skala2a_r26","Trudno mi: - spêdzaæ czas samemu.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"103","skala2a_r27","Trudno mi: - daæ drugiej osobie prezent.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"104","skala2a_r28","Trudno mi: - pozwoliæ sobie na z³oœæ wobec osoby, któr¹ lubiê.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"105","skala2a_r29","Trudno mi: - postawiæ czyjeœ potrzeby przed moimi w³asnymi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"106","skala2a_r30","Trudno mi: - nie wtr¹caæ siê w sprawy innych osób.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"107","skala2a_r31","Trudno mi: - przyjmowaæ polecenia od osób maj¹cych w³adzê nade mn¹.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"108","skala2a_r32","Trudno mi: - czuæ siê dobrze z powodu szczêœcia innej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"109","skala2a_r33","Trudno mi: - zapraszaæ inne osoby na spotkania towarzyskie.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"110","skala2a_r34","Trudno mi: - czuæ z³oœæ na inne osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"111","skala2a_r35","Trudno mi: - otworzyæ siê i wyznaæ innej osobie moje uczucia.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"112","skala2a_r36","Trudno mi: - wybaczyæ innej osobie po tym, jak by³em na ni¹ z³y.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"113","skala2a_r37","Trudno mi: - dbaæ o w³asne dobro, gdy ktoœ inny jest w potrzebie.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"114","skala2a_r38","Trudno mi: - byæ asertywnym bez martwienia siê o ranienie uczuæ innej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"115","skala2a_r39","Trudno mi: - byæ pewnym siebie podczas przebywania z innymi ludŸmi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"116","skala2a_r40","Trudno mi: - zawalczyæ o swoje gdy sytuacja tego wymaga.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"117","skala2b_r1","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za du¿o walczê z ludŸmi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"118","skala2b_r2","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - czujê siê zbyt odpowiedzialny za rozwi¹zywanie problemów innych osób.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"119","skala2b_r3","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - zbyt ³atwo mnie przekonaæ.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"120","skala2b_r4","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo otwieram siê przed innymi ludŸmi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"121","skala2b_r5","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - jestem zbyt niezale¿ny.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"122","skala2b_r6","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - jestem zbyt agresywny wobec innych osób.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"123","skala2b_r7","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - staram siê zbytnio innych zadowoliæ.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"124","skala2b_r8","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za du¿o b³aznujê.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"125","skala2b_r9","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo chce byæ zauwa¿ony.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"126","skala2b_r10","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo ufam innym ludziom.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"127","skala2b_r11","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - próbujê innych za bardzo kontrolowaæ.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"128","skala2b_r12","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo stawiam potrzeby innych przed w³asnymi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"129","skala2b_r13","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo próbujê zmieniæ innych ludzi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"130","skala2b_r14","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - jestem zbyt ³atwowierny.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"131","skala2b_r15","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - jestem nadmiernie hojny wobec ludzi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"132","skala2b_r16","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - zbyt bojê siê innych ludzi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"133","skala2b_r17","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - jestem za bardzo podejrzliwy wobec ludzi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"134","skala2b_r18","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo manipulujê innymi ludŸmi, aby dostaæ to, czego chcê.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"135","skala2b_r19","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za du¿o mówiê o osobiste rzeczy innym ludziom.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"136","skala2b_r20","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za du¿o k³ócê siê z innymi ludŸmi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"137","skala2b_r21","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - zbyt bardzo trzymam innych ludzi na dystans.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"138","skala2b_r22","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo pozwalam innym mnie wykorzystywaæ.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"139","skala2b_r23","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo czujê siê zak³opotany w towarzystwie innych ludzi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"140","skala2b_r24","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo dotyka mnie nieszczêœcie innej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"141","skala2b_r25","Poni¿ej s¹ rzeczy, których mo¿esz robiæ za du¿o: - za bardzo chce zemœciæ siê na innych ludziach.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"142","skala3a_r1","Przeszkadza mi, gdy osoba: - myœli, ¿e jest moim szefem.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"143","skala3a_r2","Przeszkadza mi, gdy osoba: - nie bierze pod uwagê moich uczuæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"144","skala3a_r3","Przeszkadza mi, gdy osoba: - nie okazuje ¿adnych uczuæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"145","skala3a_r4","Przeszkadza mi, gdy osoba: - nie anga¿uje siê w rozmowê.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"146","skala3a_r5","Przeszkadza mi, gdy osoba: - nie potrafi byæ asertywna.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"147","skala3a_r6","Przeszkadza mi, gdy osoba: - za wszelk¹ cenê unika konfliktów.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"148","skala3a_r7","Przeszkadza mi, gdy osoba: - chce spêdzaæ ze mn¹ mnóstwo czasu.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"149","skala3a_r8","Przeszkadza mi, gdy osoba: - nie szanuje mojej prywatnoœci.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"150","skala3a_r9","Przeszkadza mi, gdy osoba: - ustawia mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"151","skala3a_r10","Przeszkadza mi, gdy osoba: - nie odpowiada na mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"152","skala3a_r11","Przeszkadza mi, gdy osoba: - nie chce siê przyjaŸniæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"153","skala3a_kontr","Pytanie kontrolne - zaznacz odpowiedŸ Bardzo mocno.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"154","skala3a_r12","Przeszkadza mi, gdy osoba: - jest zdystansowana.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"155","skala3a_r13","Przeszkadza mi, gdy osoba: - nie ma charakteru.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"156","skala3a_r14","Przeszkadza mi, gdy osoba: - ci¹gle potrzebuje wsparcia.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"157","skala3b_r15","Przeszkadza mi, gdy osoba: - próbuje siê do mnie za szybko zbli¿yæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"158","skala3b_r16","Przeszkadza mi, gdy osoba: - przechwala siê.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"159","skala3b_r17","Przeszkadza mi, gdy osoba: - traktuje mnie z góry.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"160","skala3b_r18","Przeszkadza mi, gdy osoba: - jest wrogi/a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"161","skala3b_r19","Przeszkadza mi, gdy osoba: - odgradza siê ode mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"162","skala3b_r20","Przeszkadza mi, gdy osoba: - przygl¹da siê, ale nie anga¿uje.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"163","skala3b_r21","Przeszkadza mi, gdy osoba: - jest s³aba.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"164","skala3b_r22","Przeszkadza mi, gdy osoba: - zdaje siê ci¹gle potrzebowaæ mojej pomocy.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"165","skala3b_r23","Przeszkadza mi, gdy osoba: - mówi mi, ¿e mnie kocha.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"166","skala3b_r24","Przeszkadza mi, gdy osoba: - popisuje siê.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"167","skala3b_r25","Przeszkadza mi, gdy osoba: - zrobi wszystko, ¿eby dostaæ to, czego chce.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
